url,name,5,4,3,2,1,total
https://www.amazon.com/FLYFUPPY-Fashion-Sneakers-Black-8-5/dp/B08XBHFDJX/ref=sxin_28_trfob_obrv2_0_B08XBHFDJX?cv_ct_cx=sneakers&keywords=sneakers&pd_rd_i=B08XBHFDJX&pd_rd_r=7fad933f-93a6-41e3-a759-2c846b533255&pd_rd_w=qI3uJ&pd_rd_wg=ImB77&pf_rd_p=1d6e366b-5f11-4530-8e71-2f6bdec54b20&pf_rd_r=64AA39N64TFMY9XTCDCK&qid=1638028632&sr=1-1-fce42522-50ed-4c3a-b4cc-39c8aaa1be5f#customerReviews,FLYFUPPY Womens Shoes Slip-on Fashion Sneakers Round Toe Comfort Walking Shoes,55%,31%,7%,3%,5%,66
https://www.amazon.com/FLYFUPPY-Fashion-Sneakers-Comfort-Leopard/dp/B08XB43MZ7/ref=sxin_28_trfob_obrv2_1_B08XB43MZ7?cv_ct_cx=sneakers&keywords=sneakers&pd_rd_i=B08XB43MZ7&pd_rd_r=7fad933f-93a6-41e3-a759-2c846b533255&pd_rd_w=qI3uJ&pd_rd_wg=ImB77&pf_rd_p=1d6e366b-5f11-4530-8e71-2f6bdec54b20&pf_rd_r=64AA39N64TFMY9XTCDCK&qid=1638028632&sr=1-2-fce42522-50ed-4c3a-b4cc-39c8aaa1be5f#customerReviews,FLYFUPPY Womens Shoes Slip-on Fashion Sneakers Round Toe Comfort Walking Shoes,55%,31%,7%,3%,5%,66
https://www.amazon.com/FLYFUPPY-Fashion-Sneakers-Light-Brown/dp/B08XB12544/ref=sxin_28_trfob_obrv2_3_B08XB12544?cv_ct_cx=sneakers&keywords=sneakers&pd_rd_i=B08XB12544&pd_rd_r=7fad933f-93a6-41e3-a759-2c846b533255&pd_rd_w=qI3uJ&pd_rd_wg=ImB77&pf_rd_p=1d6e366b-5f11-4530-8e71-2f6bdec54b20&pf_rd_r=64AA39N64TFMY9XTCDCK&qid=1638028632&sr=1-3-fce42522-50ed-4c3a-b4cc-39c8aaa1be5f#customerReviews,FLYFUPPY Womens Shoes Slip-on Fashion Sneakers Round Toe Comfort Walking Shoes,55%,31%,7%,3%,5%,66
https://www.amazon.com/FLYFUPPY-Sneakers-Light-Brown-8-5/dp/B08XB7LZ2D/ref=sxin_28_trfob_obrv2_4_B08XB7LZ2D?cv_ct_cx=sneakers&keywords=sneakers&pd_rd_i=B08XB7LZ2D&pd_rd_r=7fad933f-93a6-41e3-a759-2c846b533255&pd_rd_w=qI3uJ&pd_rd_wg=ImB77&pf_rd_p=1d6e366b-5f11-4530-8e71-2f6bdec54b20&pf_rd_r=64AA39N64TFMY9XTCDCK&qid=1638028632&sr=1-4-fce42522-50ed-4c3a-b4cc-39c8aaa1be5f#customerReviews,FLYFUPPY Womens Shoes Slip-on Fashion Sneakers Round Toe Comfort Walking Shoes,55%,31%,7%,3%,5%,66
https://www.amazon.com/Womens-Canvas-Sneakers-Fashion-Walking%EF%BC%88Black-US7%EF%BC%89/dp/B089W4WGGN/ref=sxin_28_trfob_obrv2_6_B089W4WGGN?cv_ct_cx=sneakers&keywords=sneakers&pd_rd_i=B089W4WGGN&pd_rd_r=7fad933f-93a6-41e3-a759-2c846b533255&pd_rd_w=qI3uJ&pd_rd_wg=ImB77&pf_rd_p=1d6e366b-5f11-4530-8e71-2f6bdec54b20&pf_rd_r=64AA39N64TFMY9XTCDCK&qid=1638028632&sr=1-5-fce42522-50ed-4c3a-b4cc-39c8aaa1be5f#customerReviews,Women's Canvas Shoes Fashion Sneakers Low Top Tennis Shoes Lace up Casual Shoes,67%,16%,8%,4%,4%,1905
https://www.amazon.com/FLYFUPPY-Fashion-Sneakers-Black-9-5/dp/B08XB77HSX/ref=sxin_28_trfob_obrv2_7_B08XB77HSX?cv_ct_cx=sneakers&keywords=sneakers&pd_rd_i=B08XB77HSX&pd_rd_r=7fad933f-93a6-41e3-a759-2c846b533255&pd_rd_w=qI3uJ&pd_rd_wg=ImB77&pf_rd_p=1d6e366b-5f11-4530-8e71-2f6bdec54b20&pf_rd_r=64AA39N64TFMY9XTCDCK&qid=1638028632&sr=1-6-fce42522-50ed-4c3a-b4cc-39c8aaa1be5f#customerReviews,FLYFUPPY Womens Shoes Slip-on Fashion Sneakers Round Toe Comfort Walking Shoes,55%,31%,7%,3%,5%,66
https://www.amazon.com/FLYFUPPY-Sneakers-Light-Brown-7-5/dp/B08XBTQ9R4/ref=sxin_28_trfob_obrv2_8_B08XBTQ9R4?cv_ct_cx=sneakers&keywords=sneakers&pd_rd_i=B08XBTQ9R4&pd_rd_r=7fad933f-93a6-41e3-a759-2c846b533255&pd_rd_w=qI3uJ&pd_rd_wg=ImB77&pf_rd_p=1d6e366b-5f11-4530-8e71-2f6bdec54b20&pf_rd_r=64AA39N64TFMY9XTCDCK&qid=1638028632&sr=1-7-fce42522-50ed-4c3a-b4cc-39c8aaa1be5f#customerReviews,FLYFUPPY Womens Shoes Slip-on Fashion Sneakers Round Toe Comfort Walking Shoes,55%,31%,7%,3%,5%,66
https://www.amazon.com/New-Balance-Casual-Comfort-Trainer/dp/B07B41G645/ref=sr_1_20?keywords=sneakers&qid=1638028632&sr=8-20#customerReviews,New Balance Men's 608 V5 Casual Comfort Cross Trainer,78%,14%,4%,2%,3%,38831
https://www.amazon.com/Skechers-Womens-Appeal-Forward-Sneaker/dp/B07P15Y2DM/ref=sr_1_21?keywords=sneakers&qid=1638028632&sr=8-21#customerReviews,Skechers Women's Flex Appeal 3.0-go Forward Sneaker,76%,13%,5%,2%,3%,2706
https://www.amazon.com/adidas-Performance-SAMBA-CLASSIC-Athletic/dp/B0007PNA0A/ref=sr_1_22?keywords=sneakers&qid=1638028632&sr=8-22#customerReviews,adidas Performance Men's Samba Classic Indoor Soccer Shoe,78%,11%,5%,2%,4%,13313
https://www.amazon.com/adidas-Racer-Reborn-Sneaker-Black/dp/B07V3WG2K9/ref=sr_1_23?keywords=sneakers&qid=1638028632&sr=8-23#customerReviews,adidas Kids' Lite Racer Reborn,80%,12%,4%,2%,3%,1529
https://www.amazon.com/Reebok-Womens-Classic-Harman-Sneaker/dp/B01N6GV7ZP/ref=sr_1_24?keywords=sneakers&qid=1638028632&sr=8-24#customerReviews,Reebok Women's Classic Harman Run Sneaker,73%,12%,7%,3%,5%,6051
https://www.amazon.com/Under-Armour-Womens-Surge-Black/dp/B087Z9T23Z/ref=sr_1_25?keywords=sneakers&qid=1638028632&sr=8-25#customerReviews,Under Armour Women's Surge 2 Running Shoe,79%,13%,4%,2%,2%,2831
https://www.amazon.com/adidas-Womens-Cloudfoam-Running-Carbon/dp/B071LF71S2/ref=sr_1_26?keywords=sneakers&qid=1638028632&sr=8-26#customerReviews,adidas Women's Cloudfoam Qt Racer Running Shoe,75%,13%,6%,3%,4%,8148
https://www.amazon.com/Skechers-Classic-Fit-Delson-Camden-Sneaker-black/dp/B0756BS8ZK/ref=sr_1_27?keywords=sneakers&qid=1638028632&sr=8-27#customerReviews,Skechers Unisex-Adult Classic Fit-Delson-Camden Sneaker,78%,13%,5%,2%,3%,21910
https://www.amazon.com/Under-Armour-Charged-Pursuit-Sneaker/dp/B07PWNL7TM/ref=sr_1_28?keywords=sneakers&qid=1638028632&sr=8-28#customerReviews,Under Armour Women's Charged Pursuit 2 Running Shoe,83%,12%,3%,1%,1%,2664
https://www.amazon.com/adidas-Racer-Sneaker-Black-White/dp/B07BHYVJ7Q/ref=sr_1_29?keywords=sneakers&qid=1638028632&sr=8-29#customerReviews,adidas Unisex-Child Lite Racer CLN Running Shoe,80%,8%,4%,2%,5%,634
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02359082RSRGX393393O&url=%2FWalking-Running-Lightweight-Sneakers-Zapatos%2Fdp%2FB094FS4XSN%2Fref%3Dsr_1_30_sspa%3Fkeywords%3Dsneakers%26qid%3D1638028632%26sr%3D8-30-spons%26psc%3D1&qualifier=1638028632&id=5473089667684586&widgetName=sp_mtf#customerReviews,Socviis Womens Ladies Tennis Shoes Walking Running Casual Lightweight Sneakers Girls Clothes Platform Trainers,61%,16%,11%,4%,7%,290
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0224872SLN6R90231KV&url=%2FSTQ-Cushioned-Running-Sneakers-Breathable%2Fdp%2FB08YNDMZD8%2Fref%3Dsr_1_31_sspa%3Fkeywords%3Dsneakers%26qid%3D1638028632%26sr%3D8-31-spons%26psc%3D1&qualifier=1638028632&id=5473089667684586&widgetName=sp_mtf#customerReviews,STQ Womens Walking Shoes Slip On Mesh Sneakers Lightweight Comfortable Arch Support,56%,19%,10%,5%,11%,445
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A008821620II84JSBGHIJ&url=%2FLamincoa-Sneakers-Lightweight-Outdooor-Blue-Pink%2Fdp%2FB08CXRX6MV%2Fref%3Dsr_1_32_sspa%3Fkeywords%3Dsneakers%26qid%3D1638028632%26sr%3D8-32-spons%26psc%3D1&qualifier=1638028632&id=5473089667684586&widgetName=sp_mtf#customerReviews,Lamincoa Womens Air Running Shoes Lightweight Women Sneakers Air Cushion Walking Tennis Shoes for Women,66%,15%,8%,4%,7%,4918
https://www.amazon.com/PUMA-Womens-Carina-Sneaker-Silver/dp/B07HJLYCJT/ref=sr_1_33?keywords=sneakers&qid=1638028632&sr=8-33#customerReviews,PUMA Women's Carina Sneaker,79%,11%,5%,2%,3%,10726
https://www.amazon.com/Keds-Womens-Champion-Original-Sneaker/dp/B000EQ2LTI/ref=sr_1_34?keywords=sneakers&qid=1638028632&sr=8-34#customerReviews,Keds Women's Champion Canvas Sneaker,78%,11%,5%,2%,4%,17091
https://www.amazon.com/Kenneth-Cole-New-York-Sneaker/dp/B07VYT5CNC/ref=sr_1_35?keywords=sneakers&qid=1638028632&sr=8-35#customerReviews,Kenneth Cole New York Men's Liam Sneaker,66%,19%,7%,3%,5%,402
https://www.amazon.com/PUMA-Basic-Fashion-Sneaker-Leather/dp/B005OLAJEC/ref=sr_1_36?keywords=sneakers&qid=1638028632&sr=8-36#customerReviews,PUMA Men's Roma Basic Sneaker,65%,14%,8%,4%,8%,24130
https://www.amazon.com/Steve-Madden-Womens-Starling-Sneaker/dp/B07VKPRV93/ref=sr_1_37?keywords=sneakers&qid=1638028632&sr=8-37#customerReviews,Steve Madden Women's Starling Sneaker,67%,12%,8%,6%,6%,502
https://www.amazon.com/Sorel-Womens-Kinetic-Impact-Sneaker/dp/B08PKCXRWL/ref=sr_1_38?keywords=sneakers&qid=1638028632&sr=8-38#customerReviews,Sorel Women's Kinetic Impact Lace Sneaker — Lightweight Mesh & Leather Sneakers,76%,9%,6%,3%,6%,584
https://www.amazon.com/Steve-Madden-Fashion-Sneaker-Fabric/dp/B01LW41G87/ref=sr_1_39?keywords=sneakers&qid=1638028632&sr=8-39#customerReviews,Steve Madden Men's Fenta Fashion Sneaker,65%,17%,8%,3%,6%,2990
https://www.amazon.com/Skechers-BOBS-Womens-Bobs-Sneaker/dp/B07NJPSXMF/ref=sr_1_40?keywords=sneakers&qid=1638028632&sr=8-40#customerReviews,Skechers Women's Bobs B Cute Sneaker,81%,11%,4%,2%,2%,11490
https://www.amazon.com/Nike-Lebron-Witness-IV-Basketball/dp/B07TMNSNS2/ref=sr_1_41?keywords=sneakers&qid=1638028632&sr=8-41#customerReviews,Nike Men's Lebron Witness IV Basketball Shoes,77%,12%,5%,1%,5%,794
https://www.amazon.com/Under-Armour-School-Pursuit-Running/dp/B08FX8B35G/ref=sr_1_42?keywords=sneakers&qid=1638028632&sr=8-42#customerReviews,Under Armour Unisex-Child Grade School Pursuit Bp Running Shoe,80%,13%,5%,1%,1%,203
https://www.amazon.com/Skechers-Womens-DLites-Lace-up-Sneaker/dp/B01ESD5VN0/ref=sr_1_43?keywords=sneakers&qid=1638028632&sr=8-43#customerReviews,Skechers Sport Women's Dlites-play On,74%,13%,7%,2%,4%,6518
