url,name,5,4,3,2,1,total
https://www.amazon.com/Samsung-Chromebook-Plus-Camera-Chrome/dp/B07J1SY5QQ/ref=sr_1_5?keywords=laptop&qid=1638026255&sr=8-5#customerReviews,"Samsung Chromebook Plus V2 2-in-1 4GB RAM 32GB eMMC 13MP Camera Chrome OS 12.2"" 16:10 Aspect Ratio Light Titan (XE520QAB-K01US)",71%,16%,5%,3%,5%,4098
https://www.amazon.com/Lenovo-Chromebook-11-6-Inch-Processor-82HG0006US/dp/B08T6N424Z/ref=sr_1_6?keywords=laptop&qid=1638026255&sr=8-6#customerReviews,"Lenovo Chromebook Flex 3 11"" Laptop 11.6-Inch HD (1366 x 768) IPS Display MediaTek MT8173C Processor 4GB LPDDR3 64 GB eMMC Chrome OS 82HG0006US Blizzard White",61%,13%,6%,3%,16%,725
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A079341831BNHM8Q5SYYI&url=%2FHP-EliteBook-i5-6300U-Certified-Refurbished%2Fdp%2FB07GCR9HWB%2Fref%3Dsr_1_7_sspa%3Fkeywords%3Dlaptop%26qid%3D1638026255%26sr%3D8-7-spons%26psc%3D1&qualifier=1638026255&id=8535637135162003&widgetName=sp_mtf#customerReviews,HP EliteBook 840 G3 14in Laptop Core i5-6300U 2.4GHz 8GB Ram 240GB SSD Windows 10 Pro 64bit (Renewed),56%,10%,8%,9%,17%,38
https://www.amazon.com/Acer-A515-46-R14K-Quad-Core-Processor-Backlit/dp/B08VKNVDDR/ref=sr_1_9?keywords=laptop&qid=1638026255&sr=8-9#customerReviews,"Acer Aspire 5 A515-46-R14K Slim Laptop | 15.6"" Full HD IPS | AMD Ryzen 3 3350U Quad-Core Mobile Processor | 4GB DDR4 | 128GB NVMe SSD | WiFi 6 | Backlit KB | Amazon Alexa | Windows 10 Home (S mode)",76%,15%,4%,1%,4%,36146
https://www.amazon.com/Lenovo-IdeaPad-15-6-Touchscreen-Laptop/dp/B09BMHF3WY/ref=sr_1_11?keywords=laptop&qid=1638026255&sr=8-11#customerReviews,"Lenovo IdeaPad 3 15.6"" Touchscreen Laptop - AMD Ryzen 5 5500U - Abyss Blue MD Ryzen 5 5500U 12GB DDR4 2666MHz RAM 512GB NVMe M.2 Solid State Drive 82KU00C1US",65%,35%,0%,0%,0%,9
https://www.amazon.com/Vivobook-I5-8265U-Processor-Transparent-F712FA-DB51/dp/B082ZVCR5B/ref=sr_1_13?keywords=laptop&qid=1638026255&sr=8-13#customerReviews,Asus Vivobook 17 F712FA Thin and Light Laptop 17.3” HD+ Intel Core I5-8265U Processor 8GB DDR4 RAM 128GB SSD + 1TB HDD Windows 10 Home Transparent Silver F712FA-DB51 (Renewed),52%,28%,4%,6%,11%,54
https://www.amazon.com/ASUS-Processor-NumberPad-Microsoft-L210MA-DB01/dp/B081V6W99V/ref=sr_1_14?keywords=laptop&qid=1638026255&sr=8-14#customerReviews,ASUS Laptop L210 Ultra Thin Laptop 11.6” HD Display Intel Celeron N4020 Processor 4GB RAM 64GB Storage NumberPad Windows 10 Home in S Mode with One Year of Microsoft 365 Personal L210MA-DB01,65%,18%,7%,3%,6%,5879
https://www.amazon.com/HP-i7-1165G7-17-3-inch-Touchscreen-17-cg1010nr/dp/B091DBY1JT/ref=sr_1_15?keywords=laptop&qid=1638026255&sr=8-15#customerReviews,HP Envy 17 Laptop 11th Gen Intel Core i7-1165G7 12 GB RAM 1 TB SATA Hard Drive & 256 GB SSD Storage 17.3-inch Full HD IPS Touchscreen Windows 10 Home HD Webcam Audio by B&O (17-cg1010nr 2021),100%,0%,0%,0%,0%,2
https://www.amazon.com/HP-Generation-i5-1135G7-Graphics-15-dy2024nr/dp/B09FXFDGN3/ref=sr_1_16?keywords=laptop&qid=1638026255&sr=8-16#customerReviews,HP 15-inch Laptop 11th Generation Intel Core i5-1135G7 Intel Iris Xe Graphics 8 GB RAM 256 GB SSD Windows 11 Home (15-dy2024nr Natural silver),73%,15%,5%,1%,5%,1604
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07128663M15BOTBODNAD&url=%2FHP-Notebook-Celeron-Business-Windows%2Fdp%2FB09G9CVCF5%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dlaptop%26qid%3D1638026255%26sr%3D8-17-spons%26psc%3D1&qualifier=1638026255&id=8535637135162003&widgetName=sp_mtf#customerReviews,Newest 2021 HP Laptop Notebook 15.6 FHD IPS Laptop Celeron N4020 8GB RAM 128GB SSD Black Type-c HDMI School Business Windows 10 Home in S One Years Office 365,100%,0%,0%,0%,0%,1
