name,excellent,very_good,average,poor,terrible
London Hilton on Park Lane,2064,1075,504,255,171
The Z Hotel Victoria,764,827,253,83,75
Montcalm East Shoreditch London,2194,546,169,71,44
Hotel Indigo London - 1 Leicester Square an IHG hotel,177,95,46,35,20
Regency House Hotel,139,192,82,31,28
London Marriott Hotel Canary Wharf,1406,850,251,91,51
Holiday Inn London - Regent's Park an IHG hotel,669,1259,576,155,78
The Hayden Pub & Rooms,21,2,0,0,0
Holiday Inn Express London-Royal Docks Docklands an IHG hotel,274,465,276,85,69
The Londoner Hotel,21,4,1,2,0
The One Tun,95,41,6,3,3
New Linden Hotel,155,403,210,85,68
Hotel Indigo London - Tower Hill an IHG hotel,1037,409,57,17,7
Jesmond Dene Hotel,872,763,200,48,38
Best Western Plus Delmere Hotel,222,169,45,9,22
Best Western Plus Vauxhall Hotel,74,43,28,9,18
DoubleTree by Hilton Hotel London - Victoria,1095,1122,399,144,112
Ambassadors Bloomsbury,616,1025,520,202,131
Regency Hotel Parkside,39,85,30,10,3
Travelodge London Central Southwark,1361,1217,506,236,199
The California,677,1104,491,173,109
Brook Hotel,30,24,6,0,0
W12 Rooms,147,143,37,7,13
Point A Hotel London Kings Cross St Pancras,2794,2858,901,270,140
Bulgari Hotel London,433,67,22,14,7
The Guardsman,23,0,1,0,0
The Academy,79,22,12,6,8
Novotel London Bridge Hotel,996,1325,355,106,52
Sloane Square Hotel,962,473,139,66,29
Travelodge London Raynes Park,190,138,45,24,18
Premier Inn London Hendon (The Hyde) Hotel,409,215,67,33,23
Hilton London Bankside,2342,507,97,44,35
Adria Hotel,321,368,88,24,14
Park Plaza Westminster Bridge London,13049,6088,1987,976,794
The Z Hotel Soho,772,818,258,122,90
Ibis Styles London Ealing,98,83,30,11,6
Z Hotel Holborn,35,16,5,1,1
The Grafton Arms,38,5,0,0,1
citizenM London Shoreditch,989,393,123,32,27
Native Hyde Park,252,90,39,33,26
Travelodge London Crystal Palace,59,20,7,8,6
146 Studios,38,79,57,18,20
The George Hotel,187,328,179,75,52
OYO Grantly Hotel,61,197,131,38,41
MOXY London Excel,149,177,63,27,26
Marlin Apartments - Empire Square,332,234,107,55,85
Crescent Hotel,90,136,57,18,1
The Park City Grand Plaza Kensington Hotel,867,571,128,46,48
Hyde Park Boutique Hotel,113,284,141,51,46
Durrants Hotel,233,203,110,60,37
Radisson Blu Edwardian Grafton Hotel London,2140,2030,853,453,270
Fraser Suites Queens Gate,313,288,105,66,31
Chilworth Court Apartments,56,40,4,2,6
Stylotel,190,382,242,67,41
Parkwood at Marble Arch,329,312,85,34,12
Dockside Hotel,44,92,26,8,8
The Z Hotel Covent Garden,131,52,21,4,7
The Z Hotel Trafalgar,31,11,5,1,3
Pelican London Hotel and Residence,104,109,37,15,7
Camden Enterprise Hotel,244,105,21,4,2
The Z Hotel Piccadilly,844,566,142,44,37
The Guardsman,23,0,1,0,0
The Crown Pub & Guesthouse,37,5,1,1,0
Mornington Hotel London Victoria,161,79,18,4,12
Premier Inn London Brixton hotel,634,253,59,26,26
DoubleTree by Hilton Hotel London - Marble Arch,661,666,326,151,132
Kingsland Locke,42,8,5,2,1
The Leonard Hotel,349,301,96,43,37
Brook Green Hotel,254,123,32,18,9
DoubleTree by Hilton London Greenwich,1285,699,191,90,56
Ibis London Excel Docklands,652,1029,524,165,128
Hotel Indigo London - Paddington an IHG hotel,1296,723,169,60,36
The Zetter Townhouse Marylebone,203,44,19,6,2
Fitzrovia Hotel,250,486,260,110,63
Travelodge London City Airport Hotel,668,516,323,120,157
Park Avenue Baker Street,108,171,93,50,36
Innkeeper's Lodge London Greenwich,111,138,75,29,26
St. David's Hotels,190,290,120,67,62
Connaught House Hotel London ExCeL,174,139,34,8,8
NOX HOTELS Hyde Park,92,209,99,26,16
Marple Cottage Guest House,92,23,1,1,3
The Gateway Hotel,73,85,19,5,9
Holiday Inn Express London - Limehouse an IHG hotel,315,554,222,55,35
Macdonald Hotel,198,436,165,32,13
Mentone Hotel,132,301,157,69,56
Garden Court Hotel,133,254,138,45,35
Lexham Gardens by Cheval Maison,41,5,1,0,2
The Guardsman,23,0,1,0,0
Premier Inn London Tower Bridge Hotel,2194,1334,348,123,76
The Lion & Key Hotel,200,87,14,6,2
The Bloomsbury,3352,909,224,52,23
No 1. The Mansions by Mansley,409,204,28,7,5
Premier Inn London Chiswick Hotel,608,265,75,38,31
Hampton by Hilton London Waterloo,2032,1425,317,77,56
Luna & Simone Hotel,1453,738,130,24,8
Hotel Shepherds Bush London,37,15,0,0,7
Arosfa Hotel London by Compass Hospitality,1264,588,91,34,20
Cheval Harrington Court,316,59,13,6,1
Kimpton Fitzroy London,750,138,52,16,17
Travelodge London Excel,602,414,224,96,107
The Rockwell,370,295,86,45,21
The Pilot,362,196,66,29,27
The Forester,86,60,10,9,5
The Rosebery by Supercity Aparthotels,170,48,11,7,2
The Beverley Hotel,131,79,24,5,7
Red Lion Court by City2Stay,28,6,4,1,3
The Old Ship Inn,97,70,30,19,20
The Blackbird,23,4,2,1,0
Crowne Plaza London - Kings Cross  an IHG hotel,915,1657,919,311,181
The Zetter Townhouse Clerkenwell,135,29,7,5,0
Thanet Hotel,150,169,45,21,17
Beaufort House,135,18,4,3,2
The Harrison Gastro Pub and Hotel,87,84,21,8,1
Hotel Meridiana,157,452,203,48,26
Travelodge Wembley,690,542,261,125,172
Cheval Three Quays,2407,143,32,11,11
Avo Hotel,104,53,25,9,4
Pickwick Hall,58,71,25,11,11
The Goring,1527,161,40,20,10
The Grand at Trafalgar Square,957,723,261,77,54
Pullman London St Pancras Hotel,3523,1680,335,114,71
Ruby Lucy Hotel London,58,8,3,0,0
Hotel Indigo London - Kensington an IHG hotel,1616,658,141,48,33
The Ampersand Hotel,3446,834,149,49,30
The Standard London,181,25,17,9,8
Bankside Hotel,244,19,4,0,2
Park Grand London Paddington,1369,1126,495,187,259
Marlin Aldgate Tower Bridge,330,233,84,34,49
Marlin Apartments Queen Street,214,149,66,37,45
The Sanctuary House Hotel,967,695,125,47,24
The Angerstein Hotel,63,54,25,8,8
Morton Hotel,322,106,15,2,4
Holiday Inn London - Stratford City an IHG hotel,1116,543,129,36,37
Novotel London West,1466,2154,942,352,229
Flemings Mayfair,1721,693,242,104,68
Hampton by Hilton London Waterloo,2032,1425,317,77,56
L'oscar London,198,18,6,2,1
MK Hotel London,79,101,31,12,5
Belsize Park Apartments,31,16,1,0,1
Travelodge London Greenwich,30,14,8,2,6
The Ship Inn,25,24,4,1,1
Travelodge London Balham,343,273,121,72,82
Premier Inn London Southwark (southwark Station) Hotel,87,19,13,4,4
Tulse Hill Hotel,253,73,17,14,14
The Harrington Residences,114,141,62,20,17
Balham Lodge,71,61,27,8,2
Primrose Guesthouse,126,66,18,8,4
The Jade,114,159,56,27,27
Hotel Columbus,141,321,138,50,34
The Tommyfield,85,62,15,8,4
The Standard London,181,25,17,9,8
Locke at Broken Wharf,148,15,7,2,0
Astors Belgravia,214,438,242,89,82
NOX HOTELS Kensington,64,60,24,5,28
Travelodge London Central Marylebone,561,477,213,114,136
Premier Inn London Euston hotel,2734,1855,513,167,140
The Guardsman,23,0,1,0,0
Central Hotel,110,267,159,75,53
Clayton Hotel City of London,249,69,20,6,8
Blakemore Hyde Park,769,800,242,104,113
Premier Inn London Southwark (Tate Modern) Hotel,1325,741,162,49,48
Hilton London Paddington,1704,2054,823,366,295
Point A Hotel London - Kensington Olympia,125,78,24,14,10
The Apartments by Prestige,48,17,5,2,4
Clink261 Hostel,165,332,183,80,74
Citadines Holborn-Covent Garden London,564,693,264,87,74
Cove - Cannon Street The City,368,60,9,2,3
Hotel Xenia Autograph Collection,1058,469,100,29,18
The Captain Cook,90,18,4,0,1
Best Western London Highbury,153,286,141,29,30
La Gaffe,185,96,26,7,9
Grange Blooms Hotel,95,156,82,26,27
Dorsett Shepherds Bush London,989,780,217,73,66
Grange Portland Hotel,64,101,31,7,10
72qt Guest House,84,102,24,4,4
Travelodge London Woolwich,252,214,102,39,57
Harlingford Hotel,145,244,80,36,19
10 Curzon Street by Mansley,13,12,1,0,1
OYO London Guest House,103,143,26,4,10
Dawson House Hotel,46,58,24,12,8
Victor Hotel London Victoria,133,234,153,68,33
Cheval Gloucester Park,255,17,2,2,1
The Guardsman,23,0,1,0,0
Premier Inn London Sutton Hotel,43,11,4,3,8
Safestay London Kensington Holland Park,639,455,140,56,70
Lansbury Heritage Hotel,324,92,26,7,11
The Stafford London,1365,172,56,22,8
SACO Fitzrovia,126,29,10,3,8
Middle Eight,34,1,5,1,1
Premier Inn London County Hall hotel,5624,3262,752,202,160
citizenM Tower of London Hotel,2624,966,241,98,51
Best Western Mornington Hotel,529,566,207,63,49
PubLove at the Exmouth Arms,130,163,90,45,43
Queensway Hotel Sure Hotel Collection by Best Western,130,127,136,71,36
Queens Hotel,60,131,63,19,17
Lancaster Hall Hotel,142,256,95,10,9
The Melita,90,108,77,42,30
Brewers Inn,126,73,12,5,6
Travelodge London Wembley High Road,449,318,105,58,84
Apollo Hotel Kings Cross,64,110,50,18,17
The Warrington Hotel,103,62,25,9,15
Travelodge London Bethnal Green,566,572,224,100,121
London Marriott Hotel Marble Arch,633,791,345,117,82
DoubleTree by Hilton London Angel Kings Cross (Formerly Islington),1357,1091,294,92,57
Crestfield Hotel,149,504,330,77,67
Charlotte Street Hotel,693,157,23,9,4
Premier Inn London Sidcup hotel,306,142,67,42,26
The Hoxton Shoreditch,3860,1543,274,94,47
The Premier Notting Hill,938,644,223,143,155
Saint James Backpackers,266,143,54,34,41
Cheval Phoenix House,224,30,10,4,3
Travelodge London Docklands,517,299,186,100,156
The Walrus Hostel,238,241,87,25,11
Four Seasons Hotel London at Park Lane,1171,147,44,12,7
The Guardsman,23,0,1,0,0
Premier Inn London Southwark (Bankside) Hotel,973,577,150,41,20
The Resident Kensington,3021,1191,162,52,26
Novotel London Paddington Hotel,1255,1340,316,77,64
Troy Hotel,92,316,189,48,40
