name,excellent,very_good,average,poor,terrible
Hotel Mulberry,365,263,42,18,13
Broadway Plaza Hotel,755,808,199,56,29
SpringHill Suites by Marriott New York Midtown Manhattan/Fifth Avenue,576,516,105,28,15
Kixby,2574,1757,370,84,66
Hotel on Rivington,988,492,197,107,87
The Hotel Newton,448,870,304,94,64
San Carlos Hotel,1235,561,93,15,12
Gild Hall A Thompson Hotel,1618,598,157,58,33
Four Points by Sheraton Manhattan Midtown West,184,64,23,11,14
Hyatt Union Square New York,1320,570,172,69,60
The Westin New York Grand Central,2066,1883,665,270,229
Holiday Inn Express Manhattan Times Square South an IHG hotel,666,608,127,38,36
Best Western Plus Hospitality House,817,465,81,20,22
Eurostars Wall Street,83,142,82,38,36
Hyatt Centric Times Square New York,3734,1526,407,134,115
The Lucerne Hotel,1476,982,191,62,58
The Hotel @ New York City,398,893,375,98,78
Wyndham Garden Chinatown,1283,647,169,43,48
AC Hotel New York Times Square,253,110,43,20,19
The International Cozy Inn,59,38,21,9,8
Millennium Hilton New York Downtown,2290,1971,856,379,263
Chelsea Mews Guest House,4,5,2,3,6
Courtyard New York Downtown Manhattan / Financial District,1,0,1,0,1
The Kitano Hotel New York,702,510,124,41,20
The Kimberly Hotel,1826,620,140,61,32
TBA Times Square,0,0,0,2,6
Northern Lights Mansion,1,0,0,0,2
The Nomad Suites,0,0,0,0,2
The Moore,13,0,0,0,0
Sheraton New York Times Square Hotel,3954,3977,2056,819,627
Citadines Connect Fifth Avenue New York,97,67,32,11,25
Residence Inn New York Manhattan / Central Park,979,502,150,58,43
Millennium Hotel Broadway Times Square,2072,2481,1326,655,548
Smyth Tribeca,437,133,42,18,10
Kixby,2574,1757,370,84,66
CitizenM New York Bowery,627,160,39,31,21
Hotel Mela,2184,1975,709,235,215
The Nolitan Hotel,740,248,57,30,16
The Hilton Club - New York,542,215,71,33,30
Park Lane,4063,2954,1326,656,460
The Pearl Hotel,1987,614,94,16,12
Hotel Boutique At Grand Central,504,309,70,27,23
Kimpton Muse Hotel,2320,937,255,118,60
EVEN Hotel New York - Midtown East an IHG hotel,654,218,68,37,22
Ramada by Wyndham New York Times Square West,401,505,160,38,40
The Whitby Hotel,139,10,1,2,0
Park West Hotel,19,12,24,10,27
Hotel Hayden,326,206,83,43,32
tba NYC Times Square,3396,2297,610,139,104
Belnord Hotel,305,648,378,119,122
Executive Class at MTS Hotel,6,6,3,1,6
Candlewood Suites New York City- Times Square,902,851,205,51,59
Hilton Garden Inn New York/West 35th Street,3612,1946,397,100,88
