name,excellent,very_good,average,poor,terrible
Midtown East Residence by Globe Quarters,27,20,1,0,0
Hotel Alexander,63,151,72,19,50
Dupuy's Landing Guest House,37,8,1,1,1
Big Apple Hostel,12,35,11,3,1
The Village House NY,22,10,4,2,7
102 Brownstone,36,36,14,4,7
Living Manhattan,23,32,3,3,0
Efuru Guest House,22,37,8,4,6
Menno House,9,12,4,0,2
Apt 168,10,6,4,0,0
International Student Center,12,26,22,11,4
The Yale Club,5,3,0,0,1
New York Hostel 99,6,11,2,1,0
Hudson Yards,3,2,2,1,0
Chelsmore Apartments,5,16,3,1,2
Jumel Terrace Bed and Breakfast,7,1,0,0,0
The Vanderbilt YMCA,203,596,474,166,159
Prive,39,4,0,2,2
Hotel 99,39,66,25,9,15
The Harlem YMCA,37,90,66,19,21
Upper Yorkville Suites,30,18,3,0,5
Michael,21,12,3,1,3
The Bowery House by OYO,142,203,139,74,110
Sonder - One Platt,24,3,2,2,8
Harlem Bed and Breakfast,27,26,7,9,8
Central Park Inn,35,54,33,17,23
1600 Broadway on the Square,10,5,1,1,2
Imperial Court Hotel,41,157,154,64,87
Kixby,2574,1757,370,84,66
Hudson Yards,3,2,2,1,0
Chelsmore Apartments,5,16,3,1,2
Jumel Terrace Bed and Breakfast,7,1,0,0,0
59th Street Bridge Suites,5,0,0,0,1
Chelsea Pods,10,7,10,4,5
Trip and the City,2,3,0,0,0
W55NY,5,11,2,1,4
Design Dream,9,7,1,2,6
Saint Marks Place Studio Apartments,2,8,3,0,0
Liberty Inn,2,2,1,0,0
Times Square Dream Hostel,6,16,11,6,8
ComfortStayNYC,3,2,0,0,0
Shepherd Guest House,2,0,0,0,0
Chelsea Center Hostel,11,14,2,4,7
A accomodation B&B,1,1,0,0,0
short term stay nyc,3,0,0,0,0
Macy's Apartments,7,1,4,0,5
Landmark Guest Rooms,3,3,3,0,2
Bed and Breakfast NYC,1,0,1,0,0
Central Park Inn,35,54,33,17,23
1600 Broadway on the Square,10,5,1,1,2
Imperial Court Hotel,41,157,154,64,87
Midtown Lodging,8,2,4,0,3
Soldiers Sailors Marines Club,18,18,11,4,12
Harlem Lofts,1,2,1,0,0
Harlem 144 Guest House,7,9,3,1,4
Hotel Park 79,0,4,2,0,0
Sonder | City Hall Park,1,0,0,0,0
Time Square Apartments,11,7,5,1,8
Manhattan Guest Suites,1,0,0,0,0
The Moore,13,0,0,0,0
Hotel Alexander,63,151,72,19,50
Dupuy's Landing Guest House,37,8,1,1,1
Big Apple Hostel,12,35,11,3,1
The Village House NY,22,10,4,2,7
102 Brownstone,36,36,14,4,7
Living Manhattan,23,32,3,3,0
Efuru Guest House,22,37,8,4,6
Menno House,9,12,4,0,2
Apt 168,10,6,4,0,0
International Student Center,12,26,22,11,4
The Yale Club,5,3,0,0,1
New York Hostel 99,6,11,2,1,0
Hudson Yards,3,2,2,1,0
Chelsmore Apartments,5,16,3,1,2
Jumel Terrace Bed and Breakfast,7,1,0,0,0
59th Street Bridge Suites,5,0,0,0,1
Chelsea Pods,10,7,10,4,5
Prive,39,4,0,2,2
Hotel 99,39,66,25,9,15
The Harlem YMCA,37,90,66,19,21
Upper Yorkville Suites,30,18,3,0,5
Michael,21,12,3,1,3
The Bowery House by OYO,142,203,139,74,110
Sonder - One Platt,24,3,2,2,8
Harlem Bed and Breakfast,27,26,7,9,8
Central Park Inn,35,54,33,17,23
1600 Broadway on the Square,10,5,1,1,2
Imperial Court Hotel,41,157,154,64,87
Midtown Lodging,8,2,4,0,3
Soldiers Sailors Marines Club,18,18,11,4,12
The Moore,13,0,0,0,0
322 East 39 Street Apartments,0,1,1,0,0
Signature Suites 455 Inn,0,1,0,0,0
Kore 31,1,0,0,0,0
Times Square World,0,1,0,0,0
Alma Mathews House,0,1,0,0,0
Museum Bed and Breakfast,0,1,0,0,0
Kore Properties - 94,1,1,0,0,1
Abode Bed and Breakfast,2,1,0,1,0
Residences in the Financial District,1,1,0,1,1
Chelsea Center East,0,2,2,0,1
Elegant Retreats,0,0,1,0,0
Highbridge House,0,0,1,0,0
Kore Properties - 92,0,0,1,0,0
Manhattan Studio Apartments,0,0,1,0,0
Times Square West Midtown Apartment,0,0,1,0,0
AAE New York Hostel Inn Queen,0,1,1,1,0
Thomas Family B&B,2,11,7,3,6
Soho Bed and Breakfast,0,1,0,0,1
Jazz on the City Hostel,6,13,8,3,8
On the Hudson House,0,0,0,1,0
Times Square Beds,1,2,0,0,1
Avenue Suites,0,0,0,1,0
Javind Suites,0,1,0,0,1
Eden House Apartment,0,1,1,0,2
Midtown Stay,0,0,0,1,0
Kore Properties 73,0,1,0,1,1
Interfaith Retreats,3,8,5,5,3
Hotel 837,1,0,6,0,1
Sonder - The Nash,4,4,1,0,5
Global Luxury Suites at Symphony House,1,0,1,0,1
Kixby,2574,1757,370,84,66
Jazz on the City Hostel,6,13,8,3,8
On the Hudson House,0,0,0,1,0
Times Square Beds,1,2,0,0,1
Avenue Suites,0,0,0,1,0
Javind Suites,0,1,0,0,1
Eden House Apartment,0,1,1,0,2
Midtown Stay,0,0,0,1,0
Kore Properties 73,0,1,0,1,1
West 57 Apt Corporation,0,2,0,0,2
Pied-A-Terre on Washington Heights,0,0,1,0,1
NY Oyado,7,9,3,5,7
Bridgestreet The Sheffield,0,0,0,0,1
Sakuratei,0,1,1,0,2
Wall Street Residences by East Coast,0,0,0,0,1
Village Apartments,0,3,2,2,2
Splendid Apartment by Times SQ,0,0,0,1,0
Westside Pearl,0,2,5,0,3
NYC Guesthouse,2,2,0,0,4
Pacific Loft Guesthouse,2,2,1,3,3
Woogo - Central Park,24,92,45,31,72
Upper West Side Townhouse,0,0,0,1,0
Uchino Domitory,0,0,1,0,2
Residence Suites,0,0,0,0,1
Serene Homes E25,0,0,0,0,1
Hudson Yards HK1,0,0,0,1,0
Macy Empire,0,1,1,1,1
The Melva Inn,4,7,7,3,8
Chelsea Cabins,9,12,18,7,17
Wyndham Garden Rego Park,0,0,0,1,0
Chelsea Waterside Apartments 30 Day Stays,0,0,0,1,0
The Moore,13,0,0,0,0
Dexter House Hostel,9,18,27,13,31
Five Spot Loft,1,1,5,4,4
Fit Hotel,8,37,43,17,46
Loft 109 NY,0,0,0,1,1
Seaman Apartment,0,0,0,0,2
Mildred at the Park,0,0,0,0,2
Tribeca Lofts,1,0,0,0,4
5th Avenue Suites - New York,1,2,2,2,9
The Pina - A Private Residence Hotel,0,0,0,0,4
Bowery's Whitehouse Hotel,13,60,60,45,176
Central Park Studios at Lexington Ave. Co.,4,11,8,10,12
NYC Manhattan Bedroom,0,0,0,0,1
Manhattan Bowery Lodge,0,13,13,11,10
The Gracie Inn,43,36,15,25,65
Upper East Side Apartments,0,0,0,1,2
Candy Hostel,17,65,112,49,110
Chelsea Art Suites,0,0,0,0,2
West 46th Street Apartment,1,12,15,4,21
Sugar Hill Suites,4,2,6,4,11
United Nations Apartment Hotel,1,3,6,4,12
Chelsea South 30 Day Stays,0,0,0,0,3
Metro Midtown Suites New York,2,10,5,3,26
Central Park West Hostel,2,11,10,19,42
SoBe City Apartments,24,0,1,1,18
Bowery Grand Hotel,2,8,24,17,87
The Moore,13,0,0,0,0
The Moore,13,0,0,0,0
The Moore,13,0,0,0,0
The Moore,13,0,0,0,0
Kixby,2574,1757,370,84,66
