name,excellent,very_good,average,poor,terrible
Hotel Pulitzer Roma,700,655,147,25,14
Residenza RomaCentro,221,61,7,2,1
Hotel Albergo Santa Chiara,471,382,84,24,7
Hotel Tuscolana,259,218,29,5,9
Mood Suites Tritone,184,68,14,3,5
Residence Regola,146,65,10,2,3
Movie Movie Hotel,12,6,1,0,0
Rome Cavalieri A Waldorf Astoria Hotel,4974,1270,498,251,164
Relais Forus Inn,560,252,31,10,7
Belli36rooms,161,8,1,0,0
1880 Atypical Rooms,401,98,3,2,0
Maison Tritone,67,1,0,0,0
Hotel Best Roma,150,219,140,67,56
Residenza Paolo VI,375,151,36,11,9
NH Collection Roma Giustiniano,1660,995,219,79,41
Sotto La Cupola Guest House,95,41,5,2,2
Comfort Hotel Bolivar,414,243,131,54,67
Best Western Hotel Piccadilly,265,423,166,25,17
Guest House Casa Martini,218,3,0,0,0
NH Collection Roma Fori Imperiali,131,10,3,2,2
Vatican Style,172,34,11,3,4
Radisson Blu GHR Hotel Rome,283,200,103,58,62
River Palace Hotel,2043,759,162,37,27
Hotel Centro Cavour,274,147,30,9,1
Condominio Monti,111,25,13,3,3
NH Roma Villa Carpegna,575,692,348,126,81
Residenza Ave Roma,277,114,18,5,14
Yes Hotel,914,733,129,27,25
Hotel Mozart,876,714,195,63,44
Residenza Canova Tadolini Luxury Rooms & Suites,347,125,22,14,19
Hotel Roma Vaticano,233,117,34,11,15
Armonia All'Opera,281,54,9,2,1
Atlante Garden Hotel,363,534,234,107,66
Hotel Forum Roma,746,567,207,103,66
Hotel Camelia,508,416,80,12,8
Relais Conte Di Cavour de Luxe,130,38,6,1,1
B&B Hotel Roma Trastevere,273,394,174,38,15
Hotel Siena Roma,173,215,65,17,23
Little rHome Suites,156,95,16,5,3
Relais Giulia,243,110,19,5,15
La Casa di Amy,269,190,41,15,14
Relais Cola di Rienzo,96,20,1,1,0
Federica's Home,137,42,4,3,1
Roma Boutique Hotel,428,203,48,9,7
River Chateau Hotel,238,165,31,12,12
B&B Home 77,223,117,34,11,7
Hotel Romano,152,107,21,5,0
Room Mate Filippo,43,0,0,0,0
Hotel Majestic Roma,809,373,93,34,24
Hotel Teti,125,203,62,5,1
Heart Of Rome,184,75,15,3,2
Vatican Relais Rome,89,28,3,1,2
Residenza Frattina,293,178,42,20,13
Horti14,69,18,3,0,2
Ripetta Palace,206,63,16,4,10
Palazzo Cardinal Cesi,288,118,35,14,19
B&B Vatican Town,106,34,4,0,0
Cancelleria Dieci,62,17,1,0,0
La Residenza,305,179,70,19,20
Domidea Hotel,293,386,92,39,24
Albergo Ottocento,301,306,88,27,16
Hotel Boutique Nazionale,202,138,47,6,7
Stay Inn,242,180,42,28,10
Hotel Morgana,946,786,225,45,21
Hotel Orlanda,158,243,62,13,3
Iulia Guest House,133,51,12,4,2
Relais Cavour Inn,85,53,10,1,1
Window on Rome,86,13,2,1,1
My Bed Vatican Museum,182,1,0,0,0
Residenza Venti Settembre,203,0,0,0,0
Rome Armony Suites,1273,48,3,0,0
Casa Eli Roma,369,8,1,1,0
Tinkerbell Roma Bed&Breakfast,350,20,5,1,0
B&B Beside The Vatican,230,8,2,0,0
Hotel Vilon,131,2,1,1,0
Casa Mia Vaticano,188,11,0,0,0
B&B A Picture of Rome,942,66,9,2,2
Guest House Casa Martini,218,3,0,0,0
Althea Inn Roof Terrace,696,38,3,0,0
Blue Hostel,488,85,14,1,1
Casa Sotgiu,154,8,0,0,0
San Pietro Boutique Rooms,131,8,0,0,0
Assunta Domus,213,38,1,0,0
Casa Tua Vaticano,201,16,3,0,0
J.K. Place Roma,551,43,6,3,1
Relais 155,193,6,1,0,0
A Peace of Rome,645,83,9,1,1
Residenza Gens Julia,95,8,0,0,0
Rhea Silvia Luxury Spagna,137,4,0,1,0
Hotel Valadier,437,435,168,92,67
Arpinelli Relais,547,30,5,0,1
Free Hostels Roma,38,15,4,0,0
A Trastevere da M.E.,221,14,6,0,0
San Pietro Suites,124,11,3,0,0
Villa Paganini B&B,296,33,3,2,0
Tullia & Prisca Relais,64,31,8,1,0
Hotel Eden,264,17,9,2,3
Le Piazze di Roma,128,12,2,0,0
OTTO Rooms & Photogallery,68,0,0,0,0
B&B New Liberty In Rome,189,30,5,1,4
Cineroma Guesthouse,260,44,7,1,5
La Mongolfiera Rooms in navona,295,82,4,6,1
Piazza di Spagna Prestige,152,29,2,2,0
Rome Downtown Accomodation,344,87,9,3,1
Eats & Sheets Vaticano B&B,164,28,1,0,0
Navona 49,166,19,7,2,3
San Pietro Leisure and Luxury,150,39,3,1,1
Relais De L'Opera,248,90,7,2,3
Coronari Palace,364,165,32,9,5
Maison Flaminio B&B,119,10,2,0,0
Al Centro di Roma B&B,209,65,4,1,1
B&B Insula Urbis,80,4,0,0,0
Navona Queen,492,70,6,4,7
Hotel Aventino,778,347,41,15,5
Amor Bed & Breakfast,371,118,17,2,4
Rest Guesthouse,125,6,0,0,0
Hotel Mancino 12,400,127,14,9,5
Nazionale 51,212,70,11,7,2
I Tre Moschettieri Luxury Guest House,229,79,21,3,2
Relais Maddalena,298,60,12,3,6
Zero6,181,47,8,1,1
OM2Rome,303,71,7,3,4
Domus Cavour,167,22,4,0,1
Roman Residence,278,86,15,1,1
66 Imperial Inn,154,66,8,2,1
Temple View,126,36,3,1,0
Le Fate Apartments,248,77,12,2,8
21 Aprile House,321,71,11,4,1
Residenza Canova Tadolini Luxury Rooms & Suites,347,125,22,14,19
B&B Domus Raffaello,161,90,19,2,3
Arches B&B,188,57,14,5,1
iRooms Pantheon & Navona,470,159,41,12,8
Residenza Vatican Suite,79,11,2,0,0
B&B Roma Royal Residence,134,35,10,1,2
Boutique Hotel Anahi,373,192,40,11,7
Corso Vittorio 308,92,9,1,0,0
Movie Home B&B,164,64,8,3,9
The Pantheon Iconic Rome Hotel,191,45,32,14,9
Navona Tower Relais,102,30,5,1,0
Al Viminale Hill Inn & Hotel,836,585,143,23,17
Opera Dreams,100,19,1,1,0
Hotel Gea Di Vulcano,237,204,39,7,4
Suite Dreams,1035,505,74,18,10
Relais Badoer,231,51,13,5,7
Domus Casaletto,110,5,0,1,0
Jacuzzi Rooms,75,13,1,0,0
Folia B&B,62,5,1,0,0
Piazza di Spagna 9,135,14,5,3,2
Homesuitehome,83,11,0,0,1
Via Veneto Luxury Suites,79,4,0,0,2
Residenza Alexander Guest House,89,18,0,0,0
Domus Terenzio,94,16,1,0,1
Federici Guest House,143,74,9,2,1
B&B Foscari House,116,39,4,2,0
Town House 62,121,33,6,2,0
Hotel Petra,107,50,7,1,1
Trevispagna B&B,141,26,2,1,2
Roma Central Guest House,232,141,28,10,14
Antica Dimora delle Cinque Lune,124,126,32,6,10
My Navona,113,12,4,3,3
Hotel Relais dei Papi,352,319,80,32,14
Domus Viatoris,69,13,3,0,0
Dreams of Rome,134,33,4,2,2
Aldrovandi Residence City Suites,198,128,51,6,12
QT Suites & Apartments,66,3,0,0,0
Amica Roma B&B,105,33,4,0,3
B&B 94Rooms Vatican,207,167,27,13,21
Arenula Suites,128,34,6,3,2
Un Attimo a Roma,70,16,2,0,0
Hotel Roma Vaticano,233,117,34,11,15
Hotel Laurentia,154,178,53,19,11
Vatica B&B Roma,90,3,0,0,2
Il Corso Bed and Breakfast,167,106,12,6,7
Domus Veneto Rome,131,52,14,3,3
Hotel Adriano,677,778,190,58,26
Via Veneto Prestige Rooms,64,13,3,0,0
Town House Spagna,205,85,31,7,12
Art Seven Roma,87,21,1,0,2
J24 Bed & Breakfast,52,1,0,0,0
Suite Little Queen,101,41,3,2,1
Maison Evelina,60,4,0,0,0
St Peter Bed in Rome,109,38,8,2,1
Hotel Panama Garden,294,262,84,25,15
Jazz Style,86,22,4,1,0
Les Fleurs Luxury House,113,40,4,0,2
Bollo Apartments,187,199,59,21,15
Condotti Palace,174,148,27,13,7
Trevi Rome Suite,120,26,5,4,5
Albergo Etico Roma,44,6,1,0,0
Hotel Memphis,203,218,87,33,21
Residenza Adriana,75,36,11,1,1
Rarity Suites,55,8,0,0,0
Pantheon Inn,222,228,62,22,43
Bed And Best,102,8,2,3,1
Gemini Suite,76,14,4,2,1
Hotel Opera Roma,298,249,80,20,21
Lh Royal Suites Terrace,97,27,7,3,3
Affittacamere Villa Drusilla,64,7,2,2,1
Coffee And The City,68,9,2,1,0
La Fabbrica di San Pietro B&B,114,51,6,1,1
IL Pontefice B&B,71,11,2,0,1
Ale & Niki's Home,62,10,1,0,1
Hotel Sonya,683,713,233,68,56
Exe Domus Aurea,171,359,138,37,15
Houspitality Caesar B&B,83,13,2,0,1
Ripense In Trastevere,64,10,2,1,0
Da Me Suites,58,28,3,1,0
Residenza Antica Roma,202,253,81,33,19
Jb Relais Luxury,70,14,6,0,1
Vantaggio B&B,78,11,1,0,1
