url,name,excellent,very_good,average,poor,terrible
https://www.tripadvisor.com/Hotel_Review-g186338-d193053-Reviews-The_Mandeville_Hotel-London_England.html#REVIEWS,The Mandeville Hotel,1380,917,299,92,65
https://www.tripadvisor.com/Hotel_Review-g186338-d193105-Reviews-The_Landmark_London-London_England.html#REVIEWS,The Landmark London,306,21,10,8,10
https://www.tripadvisor.com/Hotel_Review-g186338-d10763222-Reviews-Leman_Locke-London_England.html#REVIEWS,Leman Locke,666,170,51,14,15
https://www.tripadvisor.com/Hotel_Review-g186338-d12103640-Reviews-Point_A_Hotel_London_Shoreditch-London_England.html#REVIEWS,Point A Hotel London Shoreditch,1003,588,142,52,26
https://www.tripadvisor.com/Hotel_Review-g186338-d6484754-Reviews-Shangri_La_The_Shard_London-London_England.html#REVIEWS,Shangri-La The Shard London,3938,468,155,72,68
https://www.tripadvisor.com/Hotel_Review-g186338-d5961318-Reviews-Hampton_by_Hilton_London_Waterloo-London_England.html#REVIEWS,Hampton by Hilton London Waterloo,2033,1427,318,77,56
https://www.tripadvisor.com/Hotel_Review-g186338-d2309633-Reviews-Conrad_London_St_James-London_England.html#REVIEWS,Conrad London St. James,4027,761,180,70,50
https://www.tripadvisor.com/Hotel_Review-g186338-d3240599-Reviews-Point_A_Hotel_London_Kings_Cross_St_Pancras-London_England.html#REVIEWS,Point A Hotel London Kings Cross St Pancras,2813,2863,902,273,142
https://www.tripadvisor.com/Hotel_Review-g186338-d12971308-Reviews-New_Road_Hotel-London_England.html#REVIEWS,New Road Hotel,355,128,41,13,9
https://www.tripadvisor.com/Hotel_Review-g186338-d192068-Reviews-Pullman_London_St_Pancras_Hotel-London_England.html#REVIEWS,Pullman London St Pancras Hotel,3525,1681,336,114,71
https://www.tripadvisor.com/Hotel_Review-g186338-d19597754-Reviews-Ruby_Lucy_Hotel_London-London_England.html#REVIEWS,Ruby Lucy Hotel London,62,9,3,0,0
https://www.tripadvisor.com/Hotel_Review-g186338-d18939649-Reviews-Page8-London_England.html#REVIEWS,Page8,60,8,0,0,0
https://www.tripadvisor.com/Hotel_Review-g186338-d2630895-Reviews-ME_London-London_England.html#REVIEWS,ME London,3208,661,236,116,88
https://www.tripadvisor.com/Hotel_Review-g186338-d193672-Reviews-Novotel_London_West-London_England.html#REVIEWS,Novotel London West,1467,2156,943,353,230
https://www.tripadvisor.com/Hotel_Review-g186338-d192030-Reviews-DoubleTree_by_Hilton_London_Angel_Kings_Cross_Formerly_Islington-London_England.html#REVIEWS,DoubleTree by Hilton London Angel Kings Cross (Formerly Islington),1360,1092,297,92,57
