url,name,excellent,very_good,average,poor,terrible
https://www.tripadvisor.com/Hotel_Review-g60763-d99288-Reviews-Arthouse_Hotel_New_York_City-New_York_City_New_York.html#REVIEWS,Arthouse Hotel New York City,3806,2299,789,301,219
https://www.tripadvisor.com/Hotel_Review-g60763-d122020-Reviews-Chelsea_Pines_Inn-New_York_City_New_York.html#REVIEWS,Chelsea Pines Inn,1808,380,100,39,32
https://www.tripadvisor.com/Hotel_Review-g60763-d6582679-Reviews-The_William-New_York_City_New_York.html#REVIEWS,The William,192,94,19,8,10
https://www.tripadvisor.com/Hotel_Review-g60763-d10390915-Reviews-Hyatt_House_New_York_Chelsea-New_York_City_New_York.html#REVIEWS,Hyatt House New York/Chelsea,576,241,89,33,32
https://www.tripadvisor.com/Hotel_Review-g60763-d1746459-Reviews-The_Nolitan_Hotel-New_York_City_New_York.html#REVIEWS,The Nolitan Hotel,740,248,57,30,16
https://www.tripadvisor.com/Hotel_Review-g60763-d1308397-Reviews-West_57th_Street_by_Hilton_Club-New_York_City_New_York.html#REVIEWS,West 57th Street by Hilton Club,1166,437,142,62,35
https://www.tripadvisor.com/Hotel_Review-g60763-d1456560-Reviews-Kimpton_Hotel_Eventi-New_York_City_New_York.html#REVIEWS,Kimpton Hotel Eventi,2650,1002,221,68,50
https://www.tripadvisor.com/Hotel_Review-g60763-d93430-Reviews-Iberostar_70_Park_Avenue-New_York_City_New_York.html#REVIEWS,Iberostar 70 Park Avenue,662,476,147,59,36
https://www.tripadvisor.com/Hotel_Review-g60763-d217623-Reviews-Radisson_Hotel_New_York_Wall_Street-New_York_City_New_York.html#REVIEWS,Radisson Hotel New York Wall Street,1094,853,318,136,80
https://www.tripadvisor.com/Hotel_Review-g60763-d20355943-Reviews-Sonder_at_One_Platt-New_York_City_New_York.html#REVIEWS,Sonder at One Platt,27,3,3,2,9
https://www.tripadvisor.com/Hotel_Review-g60763-d3236642-Reviews-Holiday_Inn_NYC_Lower_East_Side_an_IHG_hotel-New_York_City_New_York.html#REVIEWS,Holiday Inn NYC - Lower East Side an IHG hotel,362,351,80,18,15
https://www.tripadvisor.com/Hotel_Review-g60763-d290978-Reviews-Hotel_St_James-New_York_City_New_York.html#REVIEWS,Hotel St.James,667,1552,625,183,161
https://www.tripadvisor.com/Hotel_Review-g60763-d1485961-Reviews-Andaz_Wall_Street-New_York_City_New_York.html#REVIEWS,Andaz Wall Street,106,20,18,7,9
https://www.tripadvisor.com/Hotel_Review-g60763-d264986-Reviews-Chelsea_International_Hostel-New_York_City_New_York.html#REVIEWS,Chelsea International Hostel,104,269,205,86,80
https://www.tripadvisor.com/Hotel_Review-g60763-d1379306-Reviews-The_Hilton_Club_New_York-New_York_City_New_York.html#REVIEWS,The Hilton Club - New York,542,216,71,33,30
https://www.tripadvisor.com/Hotel_Review-g60763-d1234559-Reviews-Holiday_Inn_New_York_City_Wall_Street_an_IHG_hotel-New_York_City_New_York.html#REVIEWS,Holiday Inn New York City - Wall Street an IHG hotel,222,365,148,38,49
https://www.tripadvisor.com/Hotel_Review-g60763-d1486164-Reviews-Fairfield_Inn_Suites_New_York_Manhattan_Fifth_Avenue-New_York_City_New_York.html#REVIEWS,Fairfield Inn & Suites New York Manhattan/Fifth Avenue,297,293,97,25,26
https://www.tripadvisor.com/Hotel_Review-g60763-d488793-Reviews-Solita_Soho_Hotel-New_York_City_New_York.html#REVIEWS,Solita Soho Hotel,165,237,82,44,38
https://www.tripadvisor.com/Hotel_Review-g60763-d6899174-Reviews-The_Central_Park_North-New_York_City_New_York.html#REVIEWS,The Central Park North,31,39,17,13,10
https://www.tripadvisor.com/Hotel_Review-g60763-d23449150-Reviews-Hyatt_Regency_JFK_Airport_at_Resorts_World_New_York-New_York_City_New_York.html#REVIEWS,Hyatt Regency JFK Airport at Resorts World New York,53,7,2,2,5
https://www.tripadvisor.com/Hotel_Review-g60763-d1149404-Reviews-Hotel_Central_Times_Square_an_IHG_hotel-New_York_City_New_York.html#REVIEWS,Hotel Central Times Square an IHG hotel,770,812,491,289,276
https://www.tripadvisor.com/Hotel_Review-g60763-d3572583-Reviews-Holiday_Inn_Express_Manhattan_Midtown_West_an_IHG_hotel-New_York_City_New_York.html#REVIEWS,Holiday Inn Express Manhattan Midtown West an IHG hotel,430,621,198,62,42
https://www.tripadvisor.com/Hotel_Review-g60763-d93517-Reviews-Paramount_Hotel_New_York-New_York_City_New_York.html#REVIEWS,Paramount Hotel New York,569,410,256,200,171
https://www.tripadvisor.com/Hotel_Review-g60763-d12913546-Reviews-The_Allen_Hotel-New_York_City_New_York.html#REVIEWS,The Allen Hotel,81,27,13,3,16
https://www.tripadvisor.com/Hotel_Review-g60763-d504589-Reviews-American_Dream_Hostel-New_York_City_New_York.html#REVIEWS,American Dream Hostel,119,137,31,17,18
https://www.tripadvisor.com/Hotel_Review-g60763-d125274-Reviews-The_Redbury_New_York-New_York_City_New_York.html#REVIEWS,The Redbury New York,357,268,124,62,47
