https://www.tripadvisor.com/Hotel_Review-g187323-d1468164-Reviews-City_Hotel_Berlin_East-Berlin.html#REVIEWS,City Hotel Berlin East,354,974,846,341,210
https://www.tripadvisor.com/Hotel_Review-g187323-d17324768-Reviews-Hotel_AMO_By_AMANO-Berlin.html#REVIEWS,Hotel AMO By AMANO,24,17,6,7,6
https://www.tripadvisor.com/Hotel_Review-g187323-d1557166-Reviews-Meininger_Hotel_Berlin_Hauptbahnhof-Berlin.html#REVIEWS,Meininger Hotel Berlin Hauptbahnhof,402,802,457,171,180
https://www.tripadvisor.com/Hotel_Review-g187323-d15642842-Reviews-Numa_l_Drift_Rooms_Apartments-Berlin.html#REVIEWS,numa l Drift Rooms & Apartments,16,4,2,2,2
https://www.tripadvisor.com/Hotel_Review-g187323-d17659173-Reviews-KPM_Hotel_Residences-Berlin.html#REVIEWS,KPM Hotel & Residences,133,15,1,1,0
https://www.tripadvisor.com/Hotel_Review-g187323-d781064-Reviews-Adina_Apartment_Hotel_Berlin_Checkpoint_Charlie-Berlin.html#REVIEWS,Adina Apartment Hotel Berlin Checkpoint Charlie,2623,1107,136,19,27
https://www.tripadvisor.com/Hotel_Review-g187323-d3572840-Reviews-Select_Hotel_Berlin_The_Wall-Berlin.html#REVIEWS,Select Hotel Berlin The Wall,666,514,72,18,18
https://www.tripadvisor.com/Hotel_Review-g187323-d3505235-Reviews-SO_Berlin_Das_Stue-Berlin.html#REVIEWS,SO/ Berlin Das Stue,1565,263,79,25,19
https://www.tripadvisor.com/Hotel_Review-g187323-d1914663-Reviews-Mercure_Hotel_MOA_Berlin-Berlin.html#REVIEWS,Mercure Hotel MOA Berlin,2048,1443,286,77,37
https://www.tripadvisor.com/Hotel_Review-g187323-d230572-Reviews-Grand_Hyatt_Berlin-Berlin.html#REVIEWS,Grand Hyatt Berlin,2974,793,191,71,40
https://www.tripadvisor.com/Hotel_Review-g187323-d230872-Reviews-IntercityHotel_Berlin_Ostbahnhof-Berlin.html#REVIEWS,IntercityHotel Berlin Ostbahnhof,245,365,112,21,6
https://www.tripadvisor.com/Hotel_Review-g187323-d4571000-Reviews-Steigenberger_Hotel_Am_Kanzleramt-Berlin.html#REVIEWS,Steigenberger Hotel Am Kanzleramt,3157,1511,314,81,37
https://www.tripadvisor.com/Hotel_Review-g187323-d282723-Reviews-Lindner_Hotel_Am_Ku_damm-Berlin.html#REVIEWS,Lindner Hotel Am Ku'damm,539,450,113,20,7
https://www.tripadvisor.com/Hotel_Review-g187323-d9741255-Reviews-Titanic_Chaussee_Berlin-Berlin.html#REVIEWS,Titanic Chaussee Berlin,700,413,138,52,61
https://www.tripadvisor.com/Hotel_Review-g187323-d1858856-Reviews-Hampton_by_Hilton_Berlin_City_West-Berlin.html#REVIEWS,Hampton by Hilton Berlin City West,1817,1248,223,42,19
https://www.tripadvisor.com/Hotel_Review-g187323-d1735276-Reviews-Hotel_Gat_Point_Charlie-Berlin.html#REVIEWS,Hotel Gat Point Charlie,1003,1048,195,54,23
https://www.tripadvisor.com/Hotel_Review-g187323-d1963628-Reviews-SANA_Berlin_Hotel-Berlin.html#REVIEWS,SANA Berlin Hotel,800,642,197,57,30
https://www.tripadvisor.com/Hotel_Review-g187323-d306046-Reviews-Victor_s_Residenz_Hotel_Berlin-Berlin.html#REVIEWS,Victor's Residenz Hotel Berlin,231,247,71,16,13
https://www.tripadvisor.com/Hotel_Review-g187323-d1483688-Reviews-Abba_Berlin_Hotel-Berlin.html#REVIEWS,Abba Berlin Hotel,523,507,95,26,18
https://www.tripadvisor.com/Hotel_Review-g187323-d8401995-Reviews-Grimm_s_am_Potsdamer_Platz-Berlin.html#REVIEWS,Grimm's am Potsdamer Platz,207,107,19,6,4
https://www.tripadvisor.com/Hotel_Review-g187323-d277122-Reviews-Generator_Berlin_Prenzlauer_Berg-Berlin.html#REVIEWS,Generator Berlin Prenzlauer Berg,389,635,422,216,290
https://www.tripadvisor.com/Hotel_Review-g187323-d408529-Reviews-Hotel_Kurfurst-Berlin.html#REVIEWS,Hotel Kurfurst,49,83,29,6,6
https://www.tripadvisor.com/Hotel_Review-g187323-d242987-Reviews-Novum_Style_Hotel_Aldea-Berlin.html#REVIEWS,Novum Style Hotel Aldea,243,851,509,146,121
https://www.tripadvisor.com/Hotel_Review-g187323-d6717521-Reviews-Motel_One_Berlin_Potsdamer_Platz-Berlin.html#REVIEWS,Motel One Berlin-Potsdamer Platz,231,190,34,6,1
