url,name,excellent,very_good,average,poor,terrible
https://www.tripadvisor.com/Hotel_Review-g187791-d557956-Reviews-Hotel_Golden-Rome_Lazio.html#REVIEWS,Hotel Golden,2701,628,67,23,11
https://www.tripadvisor.com/Hotel_Review-g187791-d205121-Reviews-Quirinale_Hotel-Rome_Lazio.html#REVIEWS,Quirinale Hotel,1539,1790,633,226,144
https://www.tripadvisor.com/Hotel_Review-g187791-d313193-Reviews-B_B_Hotel_Roma_Tuscolana_San_Giovanni-Rome_Lazio.html#REVIEWS,B&B Hotel Roma Tuscolana San Giovanni,463,602,219,56,25
https://www.tripadvisor.com/Hotel_Review-g187791-d229006-Reviews-Mecenate_Palace_Hotel-Rome_Lazio.html#REVIEWS,Mecenate Palace Hotel,890,775,204,81,75
https://www.tripadvisor.com/Hotel_Review-g187791-d232851-Reviews-Hotel_de_Russie-Rome_Lazio.html#REVIEWS,Hotel de Russie,1235,262,120,74,49
https://www.tripadvisor.com/Hotel_Review-g187791-d1806826-Reviews-Navona_Palace_Luxury_Inn-Rome_Lazio.html#REVIEWS,Navona Palace Luxury Inn,438,289,101,46,57
https://www.tripadvisor.com/Hotel_Review-g187791-d1145313-Reviews-H10_Roma_Citta-Rome_Lazio.html#REVIEWS,H10 Roma Citta,1251,1169,206,47,50
https://www.tripadvisor.com/Hotel_Review-g187791-d5281487-Reviews-Rome_Life_Hotel-Rome_Lazio.html#REVIEWS,Rome Life Hotel,911,350,50,12,8
https://www.tripadvisor.com/Hotel_Review-g187791-d13794626-Reviews-Gasometer_Urban_Suites-Rome_Lazio.html#REVIEWS,Gasometer Urban Suites,89,9,0,1,0
https://www.tripadvisor.com/Hotel_Review-g187791-d229014-Reviews-Grand_Hotel_Palace-Rome_Lazio.html#REVIEWS,Grand Hotel Palace,413,194,88,30,22
https://www.tripadvisor.com/Hotel_Review-g187791-d232875-Reviews-The_Guardian-Rome_Lazio.html#REVIEWS,The Guardian,739,278,45,7,4
https://www.tripadvisor.com/Hotel_Review-g187791-d203153-Reviews-Hotel_Accademia-Rome_Lazio.html#REVIEWS,Hotel Accademia,532,684,325,81,61
https://www.tripadvisor.com/Hotel_Review-g187791-d203199-Reviews-Hotel_Forum_Roma-Rome_Lazio.html#REVIEWS,Hotel Forum Roma,748,567,207,103,66
https://www.tripadvisor.com/Hotel_Review-g187791-d203182-Reviews-Hilton_Garden_Inn_Rome_Claridge-Rome_Lazio.html#REVIEWS,Hilton Garden Inn Rome Claridge,591,611,193,47,18
https://www.tripadvisor.com/Hotel_Review-g187791-d9812994-Reviews-Palazzo_Scanderbeg-Rome_Lazio.html#REVIEWS,Palazzo Scanderbeg,185,15,4,0,0
https://www.tripadvisor.com/Hotel_Review-g187791-d3244512-Reviews-The_Independent_Hotel-Rome_Lazio.html#REVIEWS,The Independent Hotel,1359,440,52,8,8
https://www.tripadvisor.com/Hotel_Review-g187791-d13232396-Reviews-The_RomeHello-Rome_Lazio.html#REVIEWS,The RomeHello,248,26,2,1,0
https://www.tripadvisor.com/Hotel_Review-g187791-d12246811-Reviews-Rhea_Silvia_Luxury_Navona-Rome_Lazio.html#REVIEWS,Rhea Silvia Luxury Navona,132,7,0,1,2
https://www.tripadvisor.com/Hotel_Review-g187791-d2435263-Reviews-Trevi_Palace_Luxury_Inn-Rome_Lazio.html#REVIEWS,Trevi Palace Luxury Inn,271,169,60,35,39
https://www.tripadvisor.com/Hotel_Review-g187791-d623013-Reviews-Relais_Le_Clarisse_in_Trastevere-Rome_Lazio.html#REVIEWS,Relais Le Clarisse in Trastevere,334,203,41,19,7
https://www.tripadvisor.com/Hotel_Review-g187791-d4937857-Reviews-Mood_44-Rome_Lazio.html#REVIEWS,Mood 44,349,39,2,0,3
https://www.tripadvisor.com/Hotel_Review-g187791-d272485-Reviews-Hotel_Del_Corso-Rome_Lazio.html#REVIEWS,Hotel Del Corso,339,327,100,33,44
https://www.tripadvisor.com/Hotel_Review-g187791-d647005-Reviews-B_B_Suite_Beccaria-Rome_Lazio.html#REVIEWS,B&B Suite Beccaria,128,64,8,1,3
https://www.tripadvisor.com/Hotel_Review-g187791-d7377533-Reviews-Domus_Libera-Rome_Lazio.html#REVIEWS,Domus Libera,174,10,4,1,0
https://www.tripadvisor.com/Hotel_Review-g187791-d573316-Reviews-All_Time_Relais_Sport_Hotel-Rome_Lazio.html#REVIEWS,All Time Relais & Sport Hotel,144,213,60,23,11
https://www.tripadvisor.com/Hotel_Review-g187791-d1519687-Reviews-Marcantonio_Hotel-Rome_Lazio.html#REVIEWS,Marcantonio Hotel,115,116,61,9,8
https://www.tripadvisor.com/Hotel_Review-g187791-d232845-Reviews-Hotel_Caravel-Rome_Lazio.html#REVIEWS,Hotel Caravel,466,526,156,25,26
https://www.tripadvisor.com/Hotel_Review-g187791-d634943-Reviews-Hotel_Indigo_Rome_St_George_an_IHG_hotel-Rome_Lazio.html#REVIEWS,Hotel Indigo Rome - St. George an IHG hotel,1068,339,88,37,18
https://www.tripadvisor.com/Hotel_Review-g187791-d2372788-Reviews-Dharma_Luxury_Hotel-Rome_Lazio.html#REVIEWS,Dharma Luxury Hotel,1315,448,78,15,9
https://www.tripadvisor.com/Hotel_Review-g187791-d203130-Reviews-Hotel_Canada_BW_Premier_Collection-Rome_Lazio.html#REVIEWS,Hotel Canada BW Premier Collection,1657,760,118,20,11
https://www.tripadvisor.com/Hotel_Review-g187791-d228988-Reviews-Amalfi_Hotel-Rome_Lazio.html#REVIEWS,Amalfi Hotel,696,440,86,20,4
https://www.tripadvisor.com/Hotel_Review-g187791-d316644-Reviews-Hotel_Raffaello_Sure_Hotel_Collection_by_Best_Western-Rome_Lazio.html#REVIEWS,Hotel Raffaello - Sure Hotel Collection by Best Western,1789,918,163,42,20
https://www.tripadvisor.com/Hotel_Review-g187791-d205841-Reviews-Hotel_Alexandra-Rome_Lazio.html#REVIEWS,Hotel Alexandra,778,713,198,53,44
https://www.tripadvisor.com/Hotel_Review-g187791-d230556-Reviews-The_Hoxton_Rome-Rome_Lazio.html#REVIEWS,The Hoxton Rome,55,8,2,3,0
https://www.tripadvisor.com/Hotel_Review-g187791-d252734-Reviews-River_Palace_Hotel-Rome_Lazio.html#REVIEWS,River Palace Hotel,2043,759,162,37,27
https://www.tripadvisor.com/Hotel_Review-g187791-d1490240-Reviews-Hotel_Villa_Pinciana-Rome_Lazio.html#REVIEWS,Hotel Villa Pinciana,407,244,33,13,15
https://www.tripadvisor.com/Hotel_Review-g187791-d198738-Reviews-Hotel_Navona-Rome_Lazio.html#REVIEWS,Hotel Navona,643,515,127,50,49
https://www.tripadvisor.com/Hotel_Review-g187791-d2213312-Reviews-The_First_Roma_Arte-Rome_Lazio.html#REVIEWS,The First Roma Arte,827,164,45,11,11
https://www.tripadvisor.com/Hotel_Review-g187791-d2320709-Reviews-Domus_Australia_Roma-Rome_Lazio.html#REVIEWS,Domus Australia Roma,397,159,29,9,5
https://www.tripadvisor.com/Hotel_Review-g187791-d230403-Reviews-Hotel_Nord_Nuova_Roma-Rome_Lazio.html#REVIEWS,Hotel Nord Nuova Roma,421,736,332,75,41
https://www.tripadvisor.com/Hotel_Review-g187791-d277162-Reviews-Residenza_Ave_Roma-Rome_Lazio.html#REVIEWS,Residenza Ave Roma,277,114,18,5,14
https://www.tripadvisor.com/Hotel_Review-g187791-d203151-Reviews-Sina_Bernini_Bristol-Rome_Lazio.html#REVIEWS,Sina Bernini Bristol,509,375,223,96,73
https://www.tripadvisor.com/Hotel_Review-g187791-d253439-Reviews-Residenza_Paolo_VI-Rome_Lazio.html#REVIEWS,Residenza Paolo VI,375,151,36,11,9
