name,5,4,3,2,1,total
OLUKAI Nohea Moku Men’s Boat Shoes No Tie Laces & Stretch Construction Breathable Mesh & All Weather Rubber Soles,82%,10%,5%,2%,2%,1030
Nike Men's Air Force 1 '07 An20 Basketball Shoe,85%,8%,2%,1%,4%,1843
PUMA Unisex-Adult Super Levitate Sneaker,71%,16%,6%,3%,4%,3974
adidas Men's Hoops 2.0 Mid Sneaker,74%,13%,6%,3%,4%,1627
Nike Men's Renew Fusion Sneaker,73%,13%,7%,2%,5%,531
Fila Men's Strada Disruptor,77%,11%,5%,2%,5%,6160
Lacoste Men's Bayliss Fashion Sneaker,74%,13%,6%,3%,4%,1832
Kenneth Cole REACTION Men's Sprinter Sneaker,72%,17%,6%,2%,3%,1832
APRILSPRING Mens Walking Shoes Fashion Running Sports Non Slip Sneakers,61%,16%,9%,5%,9%,7616
TIAMOU Men Running Walking Shoes Sport Athletic Wihte Jogging Sneakers,63%,16%,9%,4%,8%,5782
YDB Men's Running Shoes Ultra Lightweight Breathable Walking Shoes Non Slip Athletic Fashion Sneakers Mesh Workout Casual Sports Shoes,61%,20%,9%,4%,7%,1844
BRONAX Men's Stylish Graffiti Personality Sneakers,68%,16%,8%,3%,5%,12813
Men's Walking Shoes Running Non Slip Casual Fashion Sneakers,67%,17%,7%,2%,6%,440
AX BOXING Mens Casual Shoes Fashion Sneakers Breathable Comfort Walking Shoes for Male,64%,20%,9%,3%,4%,1075
Sperry Men's Striper II CVO Washable Sneaker,78%,13%,5%,1%,2%,2669
Nike Men's Flex Experience Run 8 Sneaker,73%,14%,6%,3%,4%,6066
PUMA Men's Tazon 6 Fracture FM Cross-Trainer Shoe,71%,15%,7%,3%,4%,19741
Levi's Mens 520 BB Hi Fashion Hightop Sneaker Shoe,67%,21%,5%,3%,4%,84
Nautica Men's Townsend Casual Lace-Up ShoeClassic Low Top Loafer Fashion Sneaker,70%,16%,6%,3%,5%,1875
Fila Men's F-13v Lea/syn Fashion Sneakers,77%,14%,5%,2%,3%,6123
Nike Men's Court Vision Mid Sneaker,77%,12%,4%,2%,5%,2736
Skechers Sport Men's Vigor 2.0 Trait Memory Foam Sneaker,74%,16%,5%,2%,3%,13504
Under Armour Men's Training Cross Trainer,78%,14%,5%,1%,2%,2203
Skechers Sport Men's Elite Flex Hartnell Fashion Sneaker,80%,13%,4%,1%,1%,3741
adidas Men's Daily 3.0 Skate Shoe,81%,12%,4%,1%,2%,4856
Tommy Hilfiger Men's Ramus Sneaker,76%,11%,5%,3%,4%,1376
Tvtaop Mens Tennis Shoes Athletic Running Shoes Lightweight Sneakers Non Slip Walking Gym Shoes,57%,18%,10%,4%,11%,306
Damyuan Mens Lightweight Athletic Running Walking Gym Shoes Casual Sports Shoes Fashion Sneakers Walking Shoes,58%,17%,10%,5%,9%,4671
FUSHITON Mens Athletic Walking Blade Running Tennis Shoes Fashion Sneakers,58%,18%,10%,5%,9%,1091
Skechers for Work Men's Felton Slip Resistant Relaxed-Fit Work Shoe,67%,16%,7%,3%,6%,21763
Reebok Men's Classic Nylon Sneaker,83%,11%,3%,1%,2%,3410
Reebok Men's Club MEMT Sneaker,78%,13%,4%,2%,3%,1335
Nike Men's Trail Running Shoes,78%,12%,4%,1%,4%,932
Nike Men's Low-Top Sneakers,76%,11%,4%,2%,7%,3615
Reebok Men’s Club C Sneaker,78%,12%,4%,2%,3%,6360
HARLEY-DAVIDSON FOOTWEAR Men's Wrenford Sneaker,71%,13%,7%,3%,5%,2158
adidas Men's Advantage Eco Sneaker,82%,11%,3%,1%,3%,279
Fila Men's Memory Sportland Running Shoe,70%,17%,6%,3%,4%,1050
ECCO Men's Soft 7 Fashion Sneaker,76%,13%,6%,1%,4%,2001
PUMA Unisex-Adult Smash V2 Sneaker,75%,14%,5%,2%,4%,5342
Tommy Hilfiger Men's Rozi Slide Sandal,74%,14%,6%,2%,5%,1832
Diesel Men's S-astico Low Cut Sneakers,100%,0%,0%,0%,0%,1
BomKinta Men's Road Running Shoes Breathable Gym Sneakers Fashion Walking Athletic Shoes,62%,18%,11%,4%,4%,210
LANGFEUU Mens Walking Tennis Shoes Fashion Running Non Slip Sneakers Lightweight Casual Sports Gym Shoes,0%,0%,0%,0%,100%,1
adidas Men's Grand Court LTS Racquetball Shoe,80%,11%,5%,2%,2%,70
adidas Men's Grand Court Sneaker,81%,12%,4%,1%,2%,13187
Reebok Unisex-Adult Resonator Mid Basketball Shoe,81%,10%,2%,2%,4%,62
Nike Men's Court Vision Low Black/Royal,83%,0%,17%,0%,0%,8
Nike Men's Running Shoe,75%,16%,5%,1%,3%,1489
K-Swiss Men's ST329 CMF Training Shoe,81%,11%,3%,1%,3%,7500
Ecco Men's Soft 7 Tred High Top Gore-tex Sneaker,80%,14%,2%,1%,3%,340
Lacoste Men's Lerond Fashion Sneaker,75%,12%,7%,3%,4%,1077
Skechers Men's After Burn Memory Fit - Strike Off Lace-Up Sneaker,72%,17%,6%,2%,3%,7273
PUMA Men's Backcourt Mid Sneaker,76%,10%,7%,2%,5%,265
Under Armour Men's Charged Assert 8 Running Shoe,79%,14%,4%,1%,2%,50421
ECCO Men's Exostride Sneaker,72%,8%,5%,6%,10%,199
OLUKAI Moku Pae Men's Boat Shoes No Tie Laces & Stretch Construction Lightweight & Breathable Mesh Comfort Fit & Wet Grip Rubber Soles,81%,11%,4%,3%,2%,187
Reebok Unisex-Adult Classic Leather (Ree) Cycle Sneaker,72%,13%,6%,3%,6%,810
Reebok Men's Ex-o-fit Hi Sneaker,81%,8%,4%,2%,5%,3196
adidas Men's Lite Racer Adapt Running Shoe,79%,12%,4%,2%,3%,11883
Reebok Men's Classic Leather Harman Run Sneaker,73%,13%,5%,3%,6%,7410
Nike Mens React Element 55 Running Shoes,72%,13%,5%,3%,7%,1227
New Balance Men's Fresh Foam Roav V1 Running Shoe,80%,12%,4%,1%,3%,15828
Nike Men's Low-Top Sneakers,76%,12%,5%,2%,5%,1480
ECCO Men's Soft Classic Summer Perforated Sneaker,78%,9%,10%,0%,2%,66
adidas Men's Cloudfoam Advantage Sneakers,73%,13%,6%,3%,5%,2113
Men's Sperry Bahama II Boat Shoe,79%,12%,4%,2%,3%,2166
WsDebutting Men's Sneakers Fashion Lightweight Running Shoes Lace-up Casual Shoes for Walk,70%,16%,7%,4%,4%,870
Caitin Mens Running Tennis Blade Shoes Lightweight Casual Walking Sneakers,63%,18%,10%,4%,5%,941
Men's Sneakers Slip-On Tennis Shoes - Lightweight Walking Shoes Breathable Non Slip Cross Trainers Shoes for Gym Workout Jogging,60%,19%,7%,6%,8%,650
AX BOXING Mens Casual Shoes Fashion Sneakers Breathable Comfort Walking Shoes for Male,64%,20%,9%,3%,4%,1075
Fila Men’s Memory Workshift Slip Resistant Work Shoe,66%,17%,8%,4%,5%,20798
TIAMOU Men Running Walking Shoes Sport Athletic Wihte Jogging Sneakers,63%,16%,9%,4%,8%,5782
APRILSPRING Mens Walking Shoes Fashion Running Sports Non Slip Sneakers,61%,16%,9%,5%,9%,7616
Lacoste Men's Marice Slip on Sneaker,74%,12%,5%,3%,6%,2629
New Balance Men's 411 V1 Walking Shoe,71%,16%,6%,3%,4%,7204
Nike Men's Trail Running Shoes,78%,12%,4%,1%,4%,932
