name,5,4,3,2,1,total
"LincPlus 14"" Laptop Intel Celeron N3350 4GB RAM 64GB eMMC StorageWindows 10 Home in S Mode Computer Laptop Full HD 1080P Fanless Quiet Mini Metal NetbookSupport 128GB TF Cardand 1TB SSD Expansion",52%,16%,15%,6%,11%,49
Lenovo IdeaPad 3 Intel i5-1035G1 Quad Core 12GB RAM 256GB SSD 15.6-inch Touch Screen Laptop,75%,15%,4%,2%,4%,829
"Lenovo IdeaPad 3 17.3"" Laptop 17.3"" HD+ (1600 x 900) Display AMD Ryzen 5 5500U Processor 8GB DDR4 RAM 512GB M.2 SSD Storage AMD Radeon 7 Graphics Windows 10 Home 82KV003MUS Abyss Blue",69%,31%,0%,0%,0%,10
"2021 Dell Inspiron 3510 Laptop Computer 15.6"" HD Display Intel Pentium Processor N5030 (Up to 3.10Ghz) 8 GB RAM 256 GB SSD Webcam Wi-Fi HDMI SD Card Reader Windows 10 Black (Latest Model)",100%,0%,0%,0%,0%,4
"Dell Inspiron 15 3000 Business and Student Laptop (2021 Latest Model) 15.6"" HD Display Intel N4020 Dual-Core Processor 16GB RAM 256GB SSD Webcam HDMI Bluetooth Wi-Fi Black Windows 10",66%,16%,7%,3%,8%,"1,968"
HP Stream 11.6-inch HD Laptop Intel Celeron N4000 4 GB RAM 32 GB eMMC Windows 10 Home in S Mode with Office 365 Personal for 1 Year (11-ak0020nr Diamond White),68%,15%,7%,3%,6%,"2,856"
"Acer Aspire 5 A515-56-36UT Slim Laptop | 15.6"" Full HD Display | 11th Gen Intel Core i3-1115G4 Processor | 4GB DDR4 | 128GB NVMe SSD | WiFi 6 | Amazon Alexa | Windows 10 Home (S mode)",65%,17%,5%,3%,10%,446
CHUWI HeroBook Plus 15.6 inch Windows 10 Laptop 1080P Laptop Computer with Intel J4125 and 12GB RAM / 256GB SSD Support RJ45 Gigabit Ethernet BT5.1 Dual WiFi,37%,22%,0%,15%,26%,24
TECLAST 15.6” Traditional Laptop Computers 8GB+256GB SSD Up to 2.6GHz Quad Core Intel N4120 Windows 10 Laptop 1920x1080 Laptop Computer 2.4G+5G WiFi Bluetooth Mini-HDMI USB3.0x2 Work Entertainment,42%,21%,19%,3%,15%,125
HP Stream 14-Inch Laptop Intel Celeron N4000 4 GB RAM 64 GB eMMC Windows 10 Home in S Mode With Office 365 Personal For 1 Year (14-cb188nr Rose Pink),74%,14%,5%,2%,4%,"4,712"
"Dell Inspiron 15 15.6"" FHD Windows 10 Pro Business Laptop Computer AMD Ryzen 3 3250U up to 3.5GHz 16GB DDR4 RAM 512GB PCIe SSD 802.11AC WiFi Bluetooth USB 3.2 HDMI Webcam Snowflake White",76%,0%,10%,15%,0%,13
HP 17 Laptop 11th Gen Intel Core i5-1135G7 8 GB RAM 256 GB SSD Storage 17.3-inch HD+ Display Windows 10 Home Anti-Glare Screen Long Battery Life Web-cam & Dual Mics (17-cn0021nr 2021),63%,22%,4%,4%,8%,133
"2021 Dell Inspiron 15.6"" FHD Touchscreen Laptop Quad-Core AMD Ryzen 5 3450U Processor (Up to 3.5GHz) 32GB RAM 1TB PCIe SSD Numeric Keypad Webcam WiFi Windows 11 S Black",76%,24%,0%,0%,0%,9
"2021 ASUS L510 Ultra Thin Laptop 15.6"" FHD Display Intel Celeron N4020 Processor 4GB RAM 256 GB Storage 8Hrs+ Battery Life Backlit Keyboard Windows 10 Home + 1 Year Microsoft 365 Star Black",74%,15%,4%,0%,6%,41
"Lenovo IdeaPad 1 14 14.0"" Laptop 14.0"" HD (1366 x 768) Display Intel Celeron N4020 Processor 4GB DDR4 RAM 64 GB SSD Storage Intel UHD Graphics 600 Win 10 in S Mode 81VU0079US Ice Blue",68%,17%,7%,3%,5%,719
"2021 Latest_Dell_Inspiron 15 5000 Series 5515 15.6"" FHD Touchscreen Laptop AMD Ryzen 5 5500U (Beats i7-1065G7) 8GB RAM 256GB SSD Backlit Keyboard FP Reader Webcam Windows 10 Mist Blue W/ LPT Cloth",69%,31%,0%,0%,0%,7
